001244,PRIVATE LABEL,BANCO BRADESCO,Unnamed: 3,Unnamed: 4,BRAZIL,BR,BRA,76,Unnamed: 9,Unnamed: 10
2102,PRIVATE LABEL,CHINA MERCHANTS BANK,CREDIT,STANDARD,CHINA,CN,CHN,156,HTTP://ENGLISH.CMBCHINA.COM/,95555
2195,PRIVATE LABEL,CHINA MERCHANTS BANK,DEBIT,,CHINA,CN,CHN,156,HTTP://ENGLISH.CMBCHINA.COM/,95555
2201,PRIVATE LABEL,CHINA MERCHANTS BANK,DEBIT,,CHINA,CN,CHN,156,HTTP://ENGLISH.CMBCHINA.COM/,95555
2239,PRIVATE LABEL,CHINA MERCHANTS BANK,DEBIT,,CHINA,CN,CHN,156,HTTP://ENGLISH.CMBCHINA.COM/,95555
2361,PRIVATE LABEL,CHINA MERCHANTS BANK,CREDIT,STANDARD,CHINA,CN,CHN,156,HTTP://ENGLISH.CMBCHINA.COM/,95555
4078,PRIVATE LABEL,SHIFT4 PAYMENTS,DEBIT,GIFT,UNITED STATES,US,USA,840,,
4080,PRIVATE LABEL,SHIFT4 PAYMENTS,DEBIT,GIFT,UNITED STATES,US,USA,840,,
7343,PRIVATE LABEL,BANCO PAN,DEBIT,,BRAZIL,BR,BRA,76,,(17) 3211-9961
10051,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
10053,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
10108,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
10150,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
10258,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
10300,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
10309,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
11300,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,
11301,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,
11302,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,
11303,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,
11304,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,
11305,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,
11306,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,
11308,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,
11309,LOCAL BRAND,"BDO UNIBANK, INC.",DEBIT,PROPRIETARY ATM,PHILIPPINES,PH,PHL,608,,
12004,PRIVATE LABEL,TBI BANK,DEBIT,,BULGARIA,BG,BGR,100,,
12047,PRIVATE LABEL,BANCO DE CREDITO ARGENTINO,DEBIT,,ARGENTINA,AR,ARG,32,,
20010,PRIVATE LABEL,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,DEBIT,,CHINA,CN,CHN,156,HTTP://WWW.ICBC.COM.CN/ICBC/,400-66-95588
20083,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
20084,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
20085,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
20089,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
20202,PRIVATE LABEL,CHINA CONSTRUCTION BANK,,INTERNET BANKING CODE CARD,CHINA,CN,CHN,156,HTTP://WWW.ASIA.CCB.COM,(852) 277 95533 OR (852) 317 95533
21080,PRIVATE LABEL,BANCO PICHINCHA,DEBIT,,ECUADOR,EC,ECU,218,,
21502,LOCAL BRAND,,DEBIT,PROPRIETARY ATM,PUERTO RICO,PR,PRI,630,,
22004,PRIVATE LABEL,TBI BANK,DEBIT,,BULGARIA,BG,BGR,100,,
26688,PRIVATE LABEL,SHIFT4 PAYMENTS,DEBIT,GIFT,UNITED STATES,US,USA,840,,
30150,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
30190,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
30320,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
30430,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
30439,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
30480,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
30583,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
30589,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
30590,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
30620,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
30670,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
30690,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
30750,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
30830,PAGOBANCOMAT,,DEBIT,,ITALY,IT,ITA,380,,
